year,english,german
1999,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I – Die dunkle Bedrohung
1999,The Sixth Sense,The Sixth Sense
1999,Toy Story 2,Toy Story 2
1999,Austin Powers: The Spy Who Shagged Me,Austin Powers – Spion in geheimer Missionarsstellung
1999,The Matrix,The Matrix
1999,Tarzan,Tarzan
1999,Big Daddy,Big Daddy
1999,The Mummy,Die Mumie
1999,Runaway Bride,"Die Braut, die sich nicht traut"
1999,The Blair Witch Project,Blair Witch Project
1999,Stuart Little,Stuart Little
1999,The Green Mile,The Green Mile
1999,American Beauty,American Beauty
1999,The World Is Not Enough,James Bond 007 – Die Welt ist nicht genug
1999,Double Jeopardy,Doppelmord
1999,Notting Hill,Notting Hill
1999,Wild Wild West,Wild Wild West
1999,Analyze This,Reine Nervensache
1999,The General's Daughter,Wehrlos – Die Tochter des Generals
1999,American Pie,American Pie
1999,Sleepy Hollow,Sleepy Hollow
1999,Inspector Gadget,Inspector Gadget
1999,The Haunting,Das Geisterschloss
1999,Entrapment,Verlockende Falle
1999,Pokemon: The First Movie,Pokémon – Der Film: Mewtu gegen Mew
1999,Payback,Payback – Zahltag
1999,The Talented Mr. Ripley,Der talentierte Mr. Ripley
1999,Any Given Sunday,An jedem verdammten Sonntag
1999,Deep Blue Sea,Deep Blue Sea
1999,Galaxy Quest,Galaxy Quest – Planlos durchs Weltall
1999,The Thomas Crown Affair,Die Thomas Crown Affäre
1999,Blue Streak,Der Diamanten-Cop
1999,End of Days,End of Days – Nacht ohne Morgen
1999,The Bone Collector,Der Knochenjäger
1999,Bowfinger,Bowfingers große Nummer
1999,Deuce Bigalow: Male Gigolo,Rent a Man – Ein Mann für gewisse Sekunden
1999,Life,Lebenslänglich
1999,She's All That,Eine wie keine
1999,Three Kings,Three Kings – Es ist schön König zu sein
1999,Bicentennial Man,Der 200 Jahre Mann
1999,The Cider House Rules,Gottes Werk & Teufels Beitrag
1999,Eyes Wide Shut,Eyes Wide Shut
1999,Never Been Kissed,Ungeküsst
1999,Varsity Blues,Varsity Blues
1999,Forces of Nature,Auf die stürmische Art
1999,Message in a Bottle,Message in a Bottle – Der Beginn einer großen Liebe
1999,"South Park - Bigger, Longer and Uncut","South Park: Der Film – größer, länger, ungeschnitten"
1999,The Hurricane,The Hurricane
1999,Stigmata,Stigmata
1999,House on Haunted Hill,Haunted Hill
1999,Anna and the King,Anna und der König
1999,Cruel Intentions,Eiskalte Engel
1999,10 Things I Hate About You,"10 Dinge, die ich an dir hasse"
1999,Fight Club,Fight Club
1999,My Favorite Martian,Der Onkel vom Mars
1999,8MM,8mm – Acht Millimeter
1999,For Love of the Game,Aus Liebe zum Spiel
1999,Man on the Moon,Der Mondmann
1999,Instinct,Instinct
1999,The Best Man,The Best Man – Hochzeit mit Hindernissen
1999,Mickey Blue Eyes,Mickey Blue Eyes
1999,The 13th Warrior,Der 13te Krieger
1999,October Sky,October Sky
1999,Lake Placid,Lake Placid
1999,Random Hearts,Begegnung des Schicksals
1999,Dogma,Dogma
1999,Superstar,"Superstar [Will Farrell, Mary Katherine Gallagher]"
1999,Mystery Men,Mystery Men
1999,The Insider,Insider
1999,"Girl, Interrupted",Durchgeknallt
1999,The Out-of-Towners,Schlaflos in New York
1999,The Other Sister,Ganz normal verliebt
1999,Baby Geniuses,Die Windel-Gang
1999,The Story of Us,An deiner Seite
1999,Blast from the Past,Eve und der letzte Gentleman
1999,The Wood,The Wood
1999,Arlington Road,Arlington Road
1999,The Iron Giant,Der Gigant aus dem All
1999,Being John Malkovich,Being John Malkovich
1999,Magnolia,Magnolia
1999,EDtv,EDtv
1999,At First Sight,Auf den ersten Blick
1999,The Bachelor,Der Junggeselle
1999,Stir of Echoes,Echoes – Stimmen aus der Zwischenwelt
1999,Doug's First Movie,Doug's First Movie
1999,Summer of Sam,Summer of Sam
1999,Anywhere But Here,"Überall, nur nicht hier"
1999,An Ideal Husband,Ein perfekter Ehemann
1999,Galapagos (IMAX),Galapagos (IMAX)
1999,Drive Me Crazy,Drive Me Crazy
1999,The Rage: Carrie 2,Carrie 2 – Die Rache
1999,Go,Go! Das Leben beginnt erst um 3.00 Uhr morgens
1999,Bringing Out the Dead,Bringing Out the Dead – Nächte der Erinnerung
1999,True Crime,Ein wahres Verbrechen
1999,Muppets from Space,Muppets aus dem All
1999,A Midsummer Night's Dream,Ein Sommernachtstraum
1999,The Corruptor,Corruptor – Im Zeichen der Korruption
1999,Election,Election
1999,Music of the Heart,Music of the Heart
1999,Snow Falling on Cedars,"Schnee, der auf Zedern fällt"
1999,Drop Dead Gorgeous,Gnadenlos schön
1999,The 13th Floor,The 13th Floor – Bist du was du denkst?
1999,eXistenZ,eXistenZ
1999,Virus,Virus – Schiff ohne Wiederkehr
1999,Teaching Mrs. Tingle,Tötet Mrs. Tingle!
